LongPMPU,ShortPMPU,LongSD,ShortSD,LongMM,ShortMM,LongNR,ShortNR,LongPMPUT,ShortPMPUT,LongSDT,ShortSDT,LongMMT,ShortMMT,LongNRT,ShortNRT
7.7,25.5,24.2,30.0,36.8,26.9,8.3,4.4,18,19,19,17,50,34,60,18
7.9,23.6,24.5,29.5,35.0,27.9,9.0,4.6,19,18,19,17,46,39,59,18
7.0,27.0,23.6,29.4,34.5,22.4,9.3,5.1,17,19,18,17,57,33,66,25
3.9,28.0,23.2,31.5,38.7,16.7,8.2,6.9,13,18,20,16,67,26,59,32
4.4,30.2,22.6,31.9,39.7,13.5,6.9,6.1,14,19,17,19,68,20,49,29
4.6,29.0,23.4,30.5,37.3,17.7,7.1,5.8,18,20,19,18,63,30,52,29
7.6,30.1,24.0,29.5,33.5,19.0,8.2,5.9,17,19,16,20,58,31,57,25
7.4,30.0,23.3,30.5,32.8,14.4,7.5,6.3,19,19,17,19,61,24,50,30
7.5,32.8,23.5,32.2,35.3,12.0,7.9,6.2,19,19,16,19,63,24,63,25
5.6,34.4,25.2,34.0,38.3,11.4,8.2,7.6,13,18,16,21,65,22,56,30
5.9,36.5,25.2,33.6,38.5,11.1,7.6,7.3,12,16,18,19,60,24,52,27
7.2,36.7,25.8,32.8,36.5,11.8,8.0,6.4,11,17,18,19,55,24,54,25
7.2,36.2,25.4,31.7,35.7,12.9,8.0,7.2,11,17,18,20,61,23,55,30
7.8,36.9,25.4,31.0,34.5,13.7,7.9,5.3,12,17,18,17,59,24,53,21
7.7,36.7,25.3,32.2,34.3,12.7,7.8,5.7,12,17,18,18,58,23,52,26
7.7,36.0,26.1,31.2,33.0,13.7,7.3,5.7,12,18,18,18,53,29,50,25
8.1,36.1,25.5,31.0,34.4,14.4,7.4,5.7,12,19,19,18,52,27,52,25
7.1,30.6,24.5,31.9,35.2,13.7,7.9,5.1,14,17,17,20,51,26,53,20
6.6,29.2,24.3,34.8,34.6,16.5,8.1,5.1,14,16,18,20,48,33,54,20
9.3,29.7,25.3,32.7,32.7,18.5,7.5,4.9,16,17,19,17,50,29,49,18
8.1,27.8,25.2,35.6,33.3,15.3,7.2,5.0,16,18,17,19,49,21,48,21
5.0,28.0,25.9,38.2,36.2,13.3,7.1,5.0,12,17,16,16,52,22,44,24
4.9,29.0,26.3,38.3,35.7,14.2,7.7,4.8,11,17,17,16,58,23,45,22
5.4,27.6,27.0,35.9,31.9,17.5,10.4,4.7,14,17,17,15,51,30,60,16
5.2,28.6,26.5,37.5,33.0,15.8,9.7,4.7,14,17,18,15,59,17,56,19
2.7,29.0,24.2,40.0,37.4,11.7,8.9,4.2,9,18,16,18,61,18,62,19
2.9,28.3,24.1,37.6,37.5,13.2,9.1,4.7,12,20,16,19,61,20,64,24
3.0,28.5,23.0,37.0,38.6,14.3,8.6,4.2,12,20,15,19,60,20,61,23
3.1,29.3,22.9,37.0,37.8,13.6,8.8,3.6,13,20,18,18,55,23,59,18
3.6,29.2,23.2,35.9,35.7,15.0,9.8,3.2,14,20,19,18,55,27,65,14
4.2,30.6,23.8,38.0,35.0,10.4,8.2,2.6,15,19,18,18,53,20,56,13
4.5,31.2,23.8,38.8,35.1,10.5,8.3,2.5,14,21,19,18,52,19,60,15
4.6,31.6,21.8,37.2,37.4,9.7,7.9,2.9,19,23,18,19,67,16,61,20
4.6,31.2,21.8,36.7,36.4,10.5,8.6,3.1,16,18,16,18,62,19,57,16
4.1,32.9,27.3,33.3,29.4,14.7,12.5,2.7,14,18,17,18,53,21,55,16
5.2,32.4,29.1,34.2,28.3,14.0,11.8,2.1,13,16,17,17,49,20,48,15
6.0,36.0,30.2,32.9,22.4,9.3,14.3,2.3,16,20,18,13,39,22,49,13
6.2,35.5,31.7,32.0,20.1,10.8,15.2,2.1,11,17,19,13,36,19,47,13
6.1,36.2,35.6,35.2,21.8,8.9,12.0,2.7,11,20,18,14,37,13,37,15
6.4,37.3,35.8,35.8,21.8,9.9,11.6,2.2,12,19,16,15,40,16,38,15
7.6,37.5,34.7,35.1,20.9,10.1,12.6,2.0,16,22,15,16,39,18,41,14
8.3,35.9,34.8,35.3,20.9,11.0,12.5,2.0,16,21,17,16,40,21,37,12
7.4,34.2,34.5,34.4,22.4,11.9,10.2,2.2,15,20,14,16,40,21,35,13
8.4,35.2,35.3,34.2,21.4,13.5,11.8,2.4,16,23,14,15,40,22,39,14
7.4,35.7,34.5,36.1,21.4,11.2,11.5,2.8,14,23,14,17,42,17,39,16
7.1,35.1,33.3,34.8,24.7,10.6,11.1,4.8,14,24,13,18,48,14,47,19
6.6,34.4,31.2,35.4,25.8,9.3,13.1,6.1,11,24,11,19,48,18,50,17
6.5,34.2,29.6,33.7,25.8,10.0,12.5,6.3,11,25,12,19,45,21,52,24
6.8,32.1,28.5,31.8,25.3,12.1,12.2,6.3,13,21,11,19,47,22,51,25
7.4,33.9,28.9,30.6,27.2,11.6,11.0,5.6,13,24,12,19,46,18,47,19
6.4,32.9,27.9,29.2,28.0,12.3,11.2,6.2,14,25,14,19,50,22,52,19
3.6,29.2,27.2,31.3,35.4,14.6,11.1,9.7,12,26,15,18,57,18,44,22
3.6,28.6,25.5,31.5,36.7,15.5,10.9,9.9,12,24,16,18,54,19,47,18
3.0,30.2,24.1,30.6,36.8,12.9,11.2,10.6,11,27,15,19,57,18,53,26
3.8,29.9,22.7,29.9,38.5,12.3,10.0,11.0,14,27,12,22,66,16,50,31
5.1,28.0,24.7,27.6,31.5,13.7,8.9,11.9,16,26,17,18,53,22,51,31
5.4,27.9,22.4,24.8,28.2,12.6,8.5,9.6,9,27,16,21,59,21,54,29
5.6,26.7,23.0,24.9,25.9,13.8,8.1,8.3,13,27,14,23,48,20,46,28
4.9,27.4,23.6,23.7,30.1,13.6,6.5,9.4,11,30,14,23,51,15,40,35
4.3,29.3,22.7,23.1,32.9,12.6,6.7,10.3,12,30,13,24,50,15,44,39
5.0,34.9,26.2,27.4,37.2,14.6,8.7,11.2,11,30,15,21,53,16,48,33
5.4,35.5,27.0,27.7,37.7,15.2,8.2,9.7,12,31,16,22,48,16,40,32
4.7,36.5,25.4,28.1,38.9,14.8,8.5,9.0,12,31,17,21,49,15,44,32
5.3,35.7,25.0,28.3,39.0,15.9,8.5,7.0,10,28,17,21,49,19,42,33
4.9,36.4,25.8,28.1,37.6,14.9,9.8,6.6,9,29,19,20,47,17,48,29
5.4,36.8,24.9,29.7,38.4,15.7,10.1,6.2,10,29,18,21,46,18,46,33
5.2,36.5,24.6,29.3,37.9,16.3,10.7,6.5,12,28,18,21,45,20,51,29
4.7,37.1,24.7,30.0,39.2,13.9,9.6,6.6,10,28,17,21,48,15,46,30
4.9,36.5,24.6,29.8,39.3,13.4,8.4,6.6,12,27,18,22,47,16,43,31
4.7,36.7,24.6,31.3,38.9,12.4,8.4,5.3,12,26,18,22,50,11,39,25
5.1,36.9,23.8,30.5,38.4,12.2,8.4,5.1,11,25,18,22,47,12,40,24
5.4,36.1,22.3,29.8,39.7,12.9,7.2,5.7,12,26,17,21,54,14,40,27
5.0,35.2,20.1,26.9,38.7,13.0,7.4,4.9,13,25,15,20,46,18,34,21
5.4,39.8,20.8,27.0,42.2,14.2,8.3,4.9,9,23,15,21,50,17,37,22
4.8,39.2,19.5,28.3,42.7,15.0,8.6,4.9,10,25,16,20,50,15,40,22
4.8,38.4,18.7,28.7,42.1,14.8,8.9,4.9,10,24,17,20,52,15,43,24
4.7,37.2,17.8,29.9,42.4,15.4,9.8,4.7,12,26,17,21,62,16,45,24
4.3,36.1,17.6,29.8,41.6,15.6,9.9,4.4,11,26,18,20,63,17,49,23
4.5,34.6,18.3,29.4,41.1,16.4,10.6,4.3,11,24,19,20,56,17,48,27
4.2,34.5,18.4,30.2,39.4,15.4,10.9,3.8,10,24,18,21,51,17,48,24
4.2,35.7,18.2,30.5,39.4,13.8,10.9,4.1,10,24,17,21,54,12,45,25
4.0,35.1,17.8,27.7,34.0,12.5,10.9,3.8,15,25,16,22,56,16,57,18
4.6,36.5,18.2,26.9,34.2,13.3,10.5,3.8,16,25,16,22,54,16,53,22
5.2,35.7,17.5,25.9,34.4,13.3,10.1,4.1,15,24,16,22,57,17,51,25
4.5,37.0,18.5,26.9,36.0,14.3,9.6,3.8,16,25,17,18,51,19,47,22
5.0,37.6,22.0,26.7,36.9,18.2,10.5,4.1,17,25,16,19,48,17,41,21
5.2,37.2,23.5,27.0,35.6,18.6,10.4,4.1,18,25,18,17,50,18,42,26
5.2,35.5,23.8,26.6,34.7,19.2,9.7,4.0,17,22,19,16,54,17,43,23
5.2,34.5,24.2,25.8,33.9,20.3,9.9,4.1,13,22,20,15,51,23,47,20
5.7,33.3,24.4,25.9,33.5,20.1,9.4,4.1,14,20,21,14,45,22,40,15
5.7,35.0,24.7,28.2,34.9,19.0,8.6,3.6,14,20,18,17,48,18,42,13
5.6,34.4,22.4,27.5,34.1,16.7,8.2,3.5,14,21,17,17,48,13,44,13
5.7,34.8,20.9,27.8,36.6,16.5,7.8,3.2,12,24,17,17,54,17,44,13
5.3,35.3,21.2,28.1,37.6,16.4,6.7,3.1,12,25,17,18,50,18,41,16
5.3,37.2,21.7,30.8,39.9,14.5,7.3,4.1,13,25,16,20,54,18,42,20
5.3,36.1,20.4,30.7,41.1,15.1,7.3,3.8,13,27,16,21,55,21,49,17
5.1,35.0,19.7,30.8,40.6,15.8,7.1,3.8,14,29,19,18,62,21,48,19
5.4,35.2,20.3,30.5,40.2,16.0,7.4,3.6,10,28,19,20,60,22,52,17
5.5,35.0,20.4,30.1,38.5,16.1,7.8,4.1,11,28,18,20,54,24,48,18
6.0,34.1,20.0,29.8,36.9,13.9,8.2,4.2,11,27,18,21,49,20,51,19
6.3,32.6,19.2,29.5,37.4,14.6,8.2,4.2,11,27,18,21,55,22,53,21
6.3,31.7,20.3,27.7,32.1,15.3,9.9,4.1,10,26,17,21,47,25,57,20
4.0,32.4,22.6,30.6,36.2,15.3,9.5,4.0,9,26,18,21,48,20,52,17
3.2,34.3,22.4,31.4,38.7,16.4,10.2,4.1,8,27,19,20,51,20,51,18
3.4,33.7,22.8,31.7,38.4,16.3,9.6,3.4,8,25,19,20,49,18,49,14
3.8,32.3,23.2,29.3,35.1,17.9,11.2,3.7,10,24,20,18,43,27,52,17
3.8,30.6,24.2,28.4,33.7,19.8,10.5,3.7,9,22,21,17,44,32,51,18
3.3,31.9,23.4,30.5,34.8,17.4,10.5,3.1,8,21,20,19,44,26,47,14
3.6,27.0,23.8,26.2,30.2,22.6,11.5,3.2,11,18,22,14,35,39,52,12
3.8,26.5,24.4,24.8,31.4,25.0,9.9,2.4,14,18,22,15,36,37,48,12
3.5,27.4,24.5,24.8,32.1,25.0,10.2,2.7,13,18,19,16,37,33,45,15
3.7,28.3,26.4,28.8,34.8,26.1,9.9,2.7,12,17,19,17,38,35,44,14
3.5,29.4,25.7,31.0,35.5,22.7,10.4,2.7,14,18,17,19,38,28,47,14
3.5,28.7,26.0,29.3,34.6,24.6,11.5,2.6,13,18,18,17,39,31,54,14
3.7,25.0,26.2,24.2,33.1,32.2,12.7,2.9,11,18,19,15,38,38,56,14
3.7,25.6,25.9,24.1,33.4,30.9,12.0,2.7,14,18,17,16,35,37,52,15
3.9,26.0,25.5,23.3,34.0,30.6,11.8,3.4,13,17,19,15,37,33,47,18
3.6,26.6,25.2,23.9,34.0,30.4,11.5,2.2,12,19,18,15,38,32,49,13
2.6,29.3,23.7,28.1,34.8,21.3,11.5,3.9,9,23,17,18,42,30,49,19
2.4,31.9,23.4,30.2,37.2,16.6,9.9,4.0,11,25,16,19,42,26,46,21
2.5,31.4,24.9,30.5,35.6,18.7,10.0,3.5,13,26,17,18,38,28,46,21
2.1,32.5,23.6,30.4,35.3,16.4,9.7,3.0,11,25,17,18,36,28,47,20
1.7,31.7,18.3,31.8,39.1,16.0,9.4,2.6,9,25,15,20,49,22,46,21
2.9,32.5,18.9,27.4,36.6,16.6,9.2,2.3,11,23,15,15,43,24,42,17
2.8,32.1,20.7,29.1,35.4,15.5,10.0,2.1,9,20,14,16,38,30,41,11
3.3,31.7,24.9,28.1,34.7,21.8,11.4,2.4,12,20,17,12,41,35,49,12
4.5,29.4,25.1,25.4,33.4,26.9,11.4,2.4,16,20,18,10,41,34,48,12
4.4,29.1,24.9,26.0,34.3,26.7,9.7,2.4,15,19,18,11,44,31,47,16
4.3,30.0,24.1,28.0,35.7,23.4,9.5,3.1,16,19,17,12,46,26,44,17
3.9,31.0,24.0,28.4,37.0,21.4,9.7,3.1,13,19,17,13,49,30,41,18
4.0,30.0,27.1,26.9,34.8,22.5,11.0,4.2,13,21,19,15,45,33,47,25
3.7,32.3,28.5,27.9,35.7,19.8,8.6,4.6,11,23,19,15,42,38,45,29
3.4,32.5,27.6,29.9,34.0,15.9,8.1,5.0,14,24,18,18,44,31,38,33
4.5,30.1,28.6,26.7,30.9,22.9,9.8,3.0,13,22,19,17,40,39,48,21
4.4,29.4,29.7,26.8,29.3,22.5,9.3,3.1,11,20,20,14,37,39,44,26
3.8,27.9,27.0,26.1,28.2,17.1,8.1,4.2,12,21,17,18,40,28,42,32
3.0,28.6,26.2,27.3,28.5,12.9,7.4,4.5,10,22,17,17,44,20,38,35
2.3,31.7,27.0,34.0,37.9,11.0,7.4,5.7,11,22,16,17,53,20,35,34
2.8,32.8,23.7,35.1,38.2,9.3,7.2,5.1,13,27,14,16,55,18,41,30
2.4,30.9,23.5,37.3,39.0,8.9,7.4,5.2,10,21,13,18,49,19,40,30
2.3,31.2,23.7,36.4,37.1,8.9,7.5,4.9,9,21,16,16,44,23,42,29
2.5,31.7,24.8,37.3,36.9,8.3,7.8,3.7,8,19,14,18,41,24,39,18
2.9,30.3,24.0,37.0,35.3,9.1,8.4,4.3,11,19,15,18,43,25,39,25
2.7,29.9,22.3,35.2,34.6,8.1,7.2,4.7,12,20,14,19,48,21,39,25
2.0,27.6,21.3,32.9,33.6,9.7,6.9,3.6,16,22,15,17,44,28,39,25
3.0,30.0,27.1,33.6,30.7,12.6,8.3,2.1,8,20,18,15,40,31,41,16
3.0,28.3,31.5,34.8,29.6,18.5,11.7,2.3,9,19,21,14,44,32,47,12
3.8,25.3,31.8,31.6,27.9,26.6,14.0,1.9,9,19,19,11,41,40,56,11
4.5,25.2,32.2,28.8,28.2,28.0,13.2,2.3,11,19,17,11,37,41,51,16
4.8,25.0,32.7,28.5,28.4,29.0,11.7,1.5,10,17,19,11,35,41,44,11
4.6,25.6,32.8,28.0,27.8,25.8,9.9,2.5,9,17,18,11,38,40,39,17
4.3,26.6,31.4,27.9,27.4,22.8,9.6,2.5,9,19,18,11,37,41,42,16
5.4,24.6,31.8,27.2,26.8,25.7,10.9,2.7,9,19,17,14,38,44,44,18
3.7,25.3,31.2,28.3,27.1,22.1,10.4,2.7,8,18,17,13,40,35,43,17
5.3,23.3,33.7,29.3,28.8,28.2,10.2,2.8,10,16,15,11,43,36,39,17
6.4,20.0,32.7,27.4,26.6,32.8,12.5,2.6,12,12,18,12,43,40,46,14
6.7,19.9,32.5,26.0,26.1,33.4,12.4,2.8,12,14,21,13,41,35,48,13
6.6,19.3,31.7,24.6,25.1,34.7,13.6,3.0,13,15,20,13,40,36,50,14
7.1,18.8,32.7,22.9,24.8,36.9,12.1,3.1,13,17,21,10,43,36,46,12
5.3,20.2,33.8,25.5,24.2,30.7,11.9,4.7,10,15,19,12,38,31,41,21
5.0,21.3,31.5,24.9,23.0,27.6,11.6,4.9,11,17,18,10,41,30,40,21
5.9,21.7,31.5,24.3,22.0,26.2,11.1,4.5,11,15,18,11,45,33,40,21
6.7,20.4,33.9,23.2,22.0,32.9,12.1,4.2,12,15,20,11,45,31,48,15
5.8,18.7,36.0,23.0,22.4,37.6,13.2,4.0,13,15,22,10,41,38,52,12
6.0,18.1,34.1,18.3,24.5,42.4,12.9,4.3,12,15,21,8,45,38,47,14
4.2,19.2,33.8,20.6,28.3,34.4,11.1,8.4,10,14,19,9,47,33,45,28
3.5,21.0,34.5,21.2,27.7,33.8,11.9,7.1,10,15,21,10,46,34,43,27
3.3,21.5,34.1,21.1,26.7,33.0,12.1,5.2,9,14,20,10,45,34,43,22
2.3,24.5,34.0,25.4,29.2,24.9,10.8,8.5,8,17,18,13,47,30,40,25
3.0,24.5,34.6,25.5,26.7,26.6,11.5,5.7,9,18,18,13,44,33,42,18
5.0,20.7,31.7,22.7,26.7,32.4,11.2,4.6,11,17,20,10,47,34,44,19
3.8,20.6,32.4,22.0,25.5,31.0,11.3,5.8,10,16,22,11,45,31,44,25
3.3,21.9,32.0,20.8,25.9,29.9,11.0,6.0,9,16,21,12,50,29,43,19
2.7,24.8,29.1,22.8,27.7,21.0,10.5,7.9,9,16,21,14,57,28,40,27
2.3,24.3,28.2,26.9,26.9,17.7,10.3,7.1,7,15,20,15,52,23,44,26
2.3,27.5,31.2,27.5,29.2,20.1,10.0,6.1,9,19,19,13,55,20,38,26
2.6,28.9,33.1,30.7,30.5,19.3,9.5,6.3,8,20,20,13,51,24,30,24
2.8,29.0,31.9,32.0,30.5,19.6,9.4,4.6,8,20,19,14,51,27,39,21
3.6,31.5,30.5,31.2,32.6,16.9,8.4,5.9,8,23,19,14,61,21,39,25
3.5,31.6,29.4,32.5,35.3,13.7,8.1,6.7,7,23,18,14,63,19,35,29
3.7,32.2,29.5,34.3,35.0,12.6,8.4,6.7,7,24,17,16,58,20,34,29
3.8,31.4,28.9,34.8,35.6,14.5,8.2,5.8,6,23,18,17,57,24,37,31
3.7,29.7,28.1,35.1,34.5,16.7,9.1,4.7,7,20,18,16,57,24,37,25
3.7,31.2,27.6,34.5,35.0,14.9,8.6,4.8,9,22,18,17,57,23,39,27
3.3,28.7,30.8,34.6,32.2,17.6,9.0,4.6,7,22,19,16,50,31,42,24
3.7,28.8,29.7,33.8,32.3,15.1,7.4,4.8,7,20,19,16,58,24,35,24
4.0,25.5,30.5,31.2,26.2,21.9,9.8,4.0,7,20,19,14,46,32,44,20
3.5,24.8,30.9,29.1,25.7,21.7,9.1,4.4,7,20,21,12,52,25,37,20
1.8,23.1,33.1,30.4,26.5,22.4,9.8,5.9,8,21,22,13,49,26,37,23
2.1,20.5,34.7,27.0,24.5,30.4,11.2,5.3,9,18,23,12,45,38,42,17
3.2,18.6,35.4,24.4,21.8,35.5,11.8,4.3,12,18,24,12,42,45,47,18
1.6,20.9,37.1,25.4,25.4,29.3,9.3,6.4,8,20,23,12,44,33,38,18
2.1,22.6,37.7,27.9,25.7,25.9,9.0,5.9,8,18,22,13,38,38,36,21
2.6,25.3,34.6,30.5,27.2,18.4,8.8,6.2,7,21,20,14,43,29,34,22
3.3,25.9,29.5,30.9,29.4,15.4,8.9,6.8,8,24,21,14,55,20,41,25
3.0,24.2,27.6,31.9,30.0,17.5,9.0,4.8,8,23,19,17,57,23,43,20
2.7,22.1,25.7,30.8,31.0,18.5,8.8,4.5,11,26,19,16,58,27,42,25
1.7,22.3,25.7,32.9,35.7,19.6,8.5,4.2,9,27,18,17,53,25,40,23
1.7,24.1,25.9,35.2,38.6,20.6,9.3,4.8,7,29,17,16,54,25,42,23
1.8,23.1,25.3,35.7,38.7,21.2,8.9,4.1,7,27,20,16,59,26,42,25
1.7,21.7,27.9,34.3,32.2,23.1,10.9,3.0,6,21,22,14,49,26,49,14
1.9,21.3,28.1,34.5,31.9,22.5,9.9,3.0,8,20,20,13,53,25,40,15
1.5,21.2,28.3,34.4,29.3,22.4,11.7,2.8,8,24,19,14,46,29,41,16
2.3,20.7,27.2,33.5,27.2,20.0,11.3,3.0,9,23,18,14,43,30,42,13
2.4,19.9,23.3,30.8,25.3,16.9,10.5,3.5,9,19,21,14,45,28,45,19
2.5,20.3,23.6,29.5,24.4,17.7,10.0,3.6,11,22,19,15,45,29,40,17
2.0,23.9,29.8,31.7,26.9,18.1,10.3,3.7,9,19,18,17,45,20,40,15
0.7,25.4,29.4,31.0,26.2,21.6,16.4,4.1,4,22,18,15,39,28,46,15
0.6,26.6,23.3,35.5,36.6,16.4,15.4,5.8,5,24,16,17,55,21,42,22
1.0,24.2,23.6,34.2,32.8,19.4,16.8,5.0,6,21,16,16,51,22,45,23
1.1,23.1,24.5,33.0,30.9,22.1,16.6,4.0,6,20,17,13,48,27,44,18
1.2,23.6,25.9,25.5,23.2,26.0,15.8,3.4,7,18,21,13,45,33,56,13
2.4,23.6,26.3,22.0,22.9,27.8,13.7,3.2,9,20,21,12,44,34,53,11
2.9,24.6,26.1,21.8,26.7,25.7,12.1,3.6,12,21,21,12,52,28,45,16
2.5,26.6,25.0,27.4,32.2,20.0,13.5,5.6,8,19,17,15,49,22,43,26
2.6,27.2,25.6,30.4,29.7,19.3,15.1,4.6,9,21,18,15,43,28,45,18
2.6,25.9,26.1,28.3,25.3,24.9,17.0,3.0,9,18,20,14,39,36,48,14
3.2,25.3,26.1,27.7,26.0,24.9,14.3,3.3,11,18,20,14,44,32,52,18
2.8,25.2,25.6,29.5,25.9,21.8,14.9,3.2,10,19,21,14,43,30,52,17
2.6,25.3,24.7,26.2,23.4,25.2,17.5,3.5,11,18,21,13,35,40,57,16
3.2,25.6,25.9,24.0,23.5,27.4,16.1,2.5,11,19,23,13,36,36,56,14
2.4,27.6,25.4,25.9,25.1,22.4,16.0,2.7,10,19,19,14,45,29,59,15
2.3,28.2,26.0,27.9,23.9,18.0,17.9,4.2,8,21,21,16,42,34,58,19
2.8,26.6,26.3,28.7,22.1,18.5,15.8,3.5,10,16,22,14,37,31,56,13
3.2,25.8,26.5,27.3,19.4,19.2,16.6,2.9,14,18,21,13,36,36,59,11
2.8,24.9,25.3,26.6,22.6,17.7,14.7,3.0,13,18,24,14,40,33,60,12
2.7,27.5,25.2,30.8,24.8,16.3,14.9,3.0,12,20,19,14,44,30,52,15
2.5,29.0,23.7,31.7,32.8,15.7,12.4,4.9,5,19,16,15,52,24,45,25
3.4,29.6,23.8,34.9,31.4,16.0,13.9,3.3,6,22,17,13,55,25,47,20
3.2,28.9,22.9,32.5,24.9,18.5,16.5,1.8,10,18,19,11,38,31,59,16
2.9,31.1,24.2,34.3,27.4,15.7,13.9,2.2,11,19,18,14,44,23,49,17
3.1,31.2,22.8,34.7,27.8,15.0,13.7,2.2,10,17,17,14,46,24,54,14
3.3,31.3,22.7,32.2,28.5,16.6,14.3,2.0,10,17,19,14,45,30,59,13
3.4,31.4,23.9,29.0,24.5,18.2,15.5,1.9,11,18,21,12,40,32,67,13
3.0,31.2,22.1,27.1,24.0,19.3,16.9,2.2,10,18,20,12,46,33,71,13
3.9,27.6,23.5,24.3,21.2,23.1,17.1,2.4,12,18,22,12,38,37,78,17
3.0,29.4,24.4,25.7,24.1,20.9,14.6,2.1,11,21,22,12,40,26,67,13
4.5,26.7,23.0,23.5,21.8,24.9,15.8,1.2,12,21,21,12,40,37,70,10
5.3,25.9,23.0,21.8,21.6,27.5,15.6,1.6,11,17,24,11,39,41,73,12
4.5,29.3,22.7,23.8,24.7,21.4,14.6,2.6,11,18,22,12,48,28,67,13
5.8,29.5,25.1,23.8,23.1,25.9,14.7,1.9,10,19,25,10,37,35,65,19
3.9,29.3,23.6,30.2,28.8,18.3,13.0,3.4,7,16,19,15,53,31,52,24
3.8,28.6,21.6,35.0,31.5,13.6,14.9,4.4,4,21,17,18,56,32,47,27
3.1,27.9,18.6,35.5,34.9,10.7,15.8,5.8,5,22,15,19,55,25,57,31
4.1,26.8,17.3,35.2,33.6,14.9,16.7,3.7,6,21,16,19,47,23,63,21
4.6,27.8,16.4,33.8,34.7,14.7,15.4,3.5,6,23,16,17,62,26,60,19
5.8,29.3,16.2,33.5,34.2,13.2,14.5,5.0,6,25,17,17,61,24,54,28
5.6,29.0,15.8,34.5,34.4,11.5,12.5,5.0,8,26,19,15,61,22,48,25
3.7,27.7,15.6,35.7,34.2,11.8,14.9,3.5,9,26,19,17,66,20,57,25
3.0,26.9,17.4,38.8,33.6,13.2,16.4,4.0,7,22,21,16,54,26,56,23
2.6,27.5,18.1,39.2,33.9,12.8,16.5,4.5,9,23,21,17,59,26,54,22
2.3,28.0,17.1,39.0,35.1,12.0,16.2,4.6,8,27,18,19,63,27,57,24
3.4,26.2,17.2,38.8,33.0,13.6,17.4,4.8,9,27,19,18,71,28,69,25
3.1,26.5,17.8,38.2,33.7,13.2,16.0,5.4,9,25,21,17,70,27,60,24
2.3,26.1,17.1,38.6,31.6,12.6,17.6,5.4,8,22,18,17,60,28,64,20
